#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
8661621|2016-10-26T15:05:52.310000|42.8668|13.2037|7.7|SURVEY-INGV||||ML|2.6|--|Macerata
8662761|2016-10-26T16:54:59.490000|42.5175|13.4615|11.1|SURVEY-INGV||||ML|2.1|--|Teramo
8663031|2016-10-26T17:10:36.340000|42.8802|13.1275|8.7|BULLETIN-INGV||||Mw|5.4|--|Macerata
8663491|2016-10-26T17:21:14.860000|42.9033|13.1387|8.5|SURVEY-INGV||||ML|2.6|--|Macerata
8663681|2016-10-26T17:24:15.570000|42.8683|13.1537|7.4|SURVEY-INGV||||ML|2.5|--|Macerata
8664081|2016-10-26T17:32:11.640000|42.8647|13.1467|8.0|SURVEY-INGV||||ML|2.1|--|Macerata
8664331|2016-10-26T17:36:38.330000|42.866|13.1313|8.0|SURVEY-INGV||||ML|2.8|--|Macerata
8664371|2016-10-26T17:37:37.470000|42.7747|13.1402|6.8|SURVEY-INGV||||ML|2.4|--|Perugia
8664771|2016-10-26T17:44:52.820000|42.8832|13.1377|8.7|SURVEY-INGV||||ML|2.5|--|Macerata
8664981|2016-10-26T17:48:43.140000|42.8822|13.1007|9.5|SURVEY-INGV||||ML|2.1|--|Macerata
8665161|2016-10-26T17:51:50.750000|42.8612|13.0968|9.9|SURVEY-INGV||||ML|2.1|--|Perugia
8665191|2016-10-26T17:52:42.400000|42.733|13.166|10.8|BULLETIN-INGV||||ML|2.7|--|Rieti
8665421|2016-10-26T17:55:03.340000|42.8558|13.096|9.1|SURVEY-INGV||||ML|3.0|--|Perugia
8665661|2016-10-26T17:58:18.830000|42.8322|13.1362|8.9|SURVEY-INGV||||ML|2.7|--|Perugia
8665891|2016-10-26T18:02:22.940000|42.9057|13.1212|8.8|SURVEY-INGV||||ML|2.5|--|Macerata
8666341|2016-10-26T18:10:28.210000|42.8675|13.0912|10.3|SURVEY-INGV||||ML|2.1|--|Perugia
8666721|2016-10-26T18:19:23.450000|42.9077|13.1128|9.4|SURVEY-INGV||||ML|2.4|--|Macerata
8667031|2016-10-26T18:28:06.220000|42.8683|13.0885|10.1|SURVEY-INGV||||ML|2.4|--|Perugia
8667251|2016-10-26T18:32:56.000000|42.8862|13.1477|8.9|BULLETIN-INGV||||ML|2.8|--|Macerata
8667331|2016-10-26T18:34:34.140000|42.8712|13.1428|8.2|SURVEY-INGV||||ML|3.0|--|Macerata
8667511|2016-10-26T18:39:19.420000|42.8808|13.0925|10.0|SURVEY-INGV||||ML|3.4|--|Perugia
8667751|2016-10-26T18:43:53.940000|42.8438|13.1085|9.1|SURVEY-INGV||||ML|2.0|--|Perugia
8668211|2016-10-26T18:54:04.460000|42.8857|13.1377|9.6|SURVEY-INGV||||ML|2.2|--|Macerata
8668481|2016-10-26T19:00:29.910000|42.9073|13.1157|9.0|SURVEY-INGV||||ML|3.2|--|Macerata
8668741|2016-10-26T19:05:47.020000|42.8893|13.1275|8.9|SURVEY-INGV||||ML|3.0|--|Macerata
8669081|2016-10-26T19:13:23.280000|42.8723|13.141|6.7|SURVEY-INGV||||ML|2.2|--|Macerata
8669321|2016-10-26T19:18:05.850000|42.9087|13.1288|7.5|BULLETIN-INGV||||Mw|5.9|--|Macerata
8669671|2016-10-26T19:25:18.790000|42.9357|13.0747|8.5|SURVEY-INGV||||ML|3.9|--|Macerata
8669841|2016-10-26T19:27:54.210000|42.8898|13.0818|9.6|SURVEY-INGV||||ML|3.4|--|Perugia
8670061|2016-10-26T19:34:26.670000|42.9472|13.0557|9.9|SURVEY-INGV||||ML|3.3|--|Macerata
8670161|2016-10-26T19:36:33.240000|43.2082|11.0442|6.6|SURVEY-INGV||||ML|2.2|--|Siena
8670241|2016-10-26T19:37:17.680000|42.9188|13.1197|9.0|SURVEY-INGV||||ML|3.0|--|Macerata
8670551|2016-10-26T19:43:43.780000|42.8932|13.0693|9.8|SURVEY-INGV||||ML|3.8|--|Perugia
8670731|2016-10-26T19:49:26.570000|42.9647|13.0598|10.1|SURVEY-INGV||||ML|3.5|--|Macerata
8670941|2016-10-26T19:53:27.370000|42.8632|13.2208|9.1|SURVEY-INGV||||ML|3.1|--|Macerata
8671001|2016-10-26T19:54:18.440000|43.0025|13.0592|10.1|SURVEY-INGV||||ML|3.2|--|Macerata
8671091|2016-10-26T19:56:08.530000|42.8638|13.1538|8.8|SURVEY-INGV||||ML|2.6|--|Macerata
8671151|2016-10-26T19:57:56.910000|42.916|13.0512|9.6|SURVEY-INGV||||ML|2.7|--|Macerata
8671221|2016-10-26T20:00:16.320000|43.0412|13.1072|7.8|SURVEY-INGV||||ML|2.8|--|Macerata
8671291|2016-10-26T20:01:23.990000|42.9733|13.1458|8.9|SURVEY-INGV||||ML|2.7|--|Macerata
8671381|2016-10-26T20:03:29.140000|42.9852|13.125|8.9|SURVEY-INGV||||ML|3.4|--|Macerata
8671441|2016-10-26T20:04:07.890000|43.0127|13.1227|5.7|SURVEY-INGV||||ML|3.4|--|Macerata
8671481|2016-10-26T20:06:36.660000|42.9233|13.1072|9.7|SURVEY-INGV||||ML|3.1|--|Macerata
8671641|2016-10-26T20:09:11.310000|42.9843|13.1183|8.0|SURVEY-INGV||||ML|2.9|--|Macerata
8671721|2016-10-26T20:11:00.650000|42.9807|13.1107|9.7|SURVEY-INGV||||ML|3.0|--|Macerata
8671781|2016-10-26T20:12:41.070000|43.0172|13.123|8.4|SURVEY-INGV||||ML|3.3|--|Macerata
8672101|2016-10-26T20:18:59.530000|42.8822|13.1583|6.2|SURVEY-INGV||||ML|2.2|--|Macerata
8672191|2016-10-26T20:20:50.250000|42.8718|13.1488|7.6|SURVEY-INGV||||ML|2.3|--|Macerata
8672301|2016-10-26T20:22:40.500000|42.8587|13.1522|6.8|SURVEY-INGV||||ML|2.9|--|Macerata
8672421|2016-10-26T20:25:53.180000|42.9913|13.1365|9.6|SURVEY-INGV||||ML|3.2|--|Macerata
8672561|2016-10-26T20:28:46.760000|43.0238|13.1277|8.5|SURVEY-INGV||||ML|2.6|--|Macerata
8672611|2016-10-26T20:30:25.850000|43.0045|13.0693|10.2|SURVEY-INGV||||ML|2.9|--|Macerata
8672671|2016-10-26T20:32:41.170000|42.8563|13.088|8.7|SURVEY-INGV||||ML|2.9|--|Perugia
8672751|2016-10-26T20:34:39.370000|42.8628|13.0782|10.0|SURVEY-INGV||||ML|2.4|--|Perugia
8672801|2016-10-26T20:35:57.260000|42.8788|13.145|7.8|SURVEY-INGV||||ML|2.8|--|Macerata
8672831|2016-10-26T20:38:07.810000|43.0142|13.0653|10.2|SURVEY-INGV||||ML|3.0|--|Macerata
8672951|2016-10-26T20:40:10.100000|43.0468|13.0643|10.9|SURVEY-INGV||||ML|2.3|--|Macerata
8673011|2016-10-26T20:41:24.860000|42.8733|13.1527|7.8|SURVEY-INGV||||ML|3.1|--|Macerata
8673051|2016-10-26T20:42:21.230000|43.0082|13.1125|8.7|SURVEY-INGV||||ML|3.1|--|Macerata
8673351|2016-10-26T20:49:12.720000|42.9977|13.1082|7.7|SURVEY-INGV||||ML|2.7|--|Macerata
8673471|2016-10-26T20:51:06.000000|42.8982|13.1387|8.9|SURVEY-INGV||||ML|2.4|--|Macerata
8673541|2016-10-26T20:52:16.630000|42.8822|13.1618|6.0|SURVEY-INGV||||ML|2.5|--|Macerata
8673661|2016-10-26T20:54:47.720000|42.8567|13.1708|8.7|SURVEY-INGV||||ML|2.2|--|Macerata
